sample,val
0.000000,0.000023
0.099800,0.006588
0.199601,0.013190
0.299401,0.019794
0.399202,0.026393
0.499002,0.033007
0.598802,0.039626
0.698603,0.046269
0.798403,0.052906
0.898204,0.059570
0.998004,0.066252
1.097804,0.072948
1.197605,0.079670
1.297405,0.086416
1.397206,0.093183
1.497006,0.099982
1.596806,0.106814
1.696607,0.113663
1.796407,0.120558
1.896208,0.127489
1.996008,0.134457
2.095808,0.141472
2.195609,0.148510
2.295409,0.155603
2.395210,0.162743
2.495010,0.169951
2.594810,0.177187
2.694611,0.184482
2.794411,0.191843
2.894212,0.199263
2.994012,0.206745
3.093812,0.214285
3.193613,0.221898
3.293413,0.229584
3.393214,0.237327
3.493014,0.245165
3.592814,0.253078
3.692615,0.261076
3.792415,0.269162
3.892216,0.277331
3.992016,0.285594
4.091816,0.293957
4.191617,0.302409
4.291417,0.310986
4.391218,0.319650
4.491018,0.328430
4.590818,0.337327
4.690619,0.346347
4.790419,0.355483
4.890220,0.364762
4.990020,0.374155
5.089820,0.383688
5.189621,0.393380
5.289421,0.403206
5.389222,0.413189
5.489022,0.423334
5.588822,0.433636
5.688623,0.444107
5.788423,0.454763
5.888224,0.465608
5.988024,0.476628
6.087824,0.487847
6.187625,0.499271
6.287425,0.510912
6.387226,0.522765
6.487026,0.534842
6.586826,0.547149
6.686627,0.559724
6.786427,0.572536
6.886228,0.585610
6.986028,0.598965
7.085828,0.612608
7.185629,0.626534
7.285429,0.640764
7.385230,0.655328
7.485030,0.670218
7.584830,0.685434
7.684631,0.701039
7.784431,0.717004
7.884232,0.733364
7.984032,0.750123
8.083832,0.767317
8.183633,0.784949
8.283433,0.803042
8.383234,0.821629
8.483034,0.840700
8.582834,0.860313
8.682635,0.880469
8.782435,0.901211
8.882236,0.922556
8.982036,0.944533
9.081836,0.967178
9.181637,0.990514
9.281437,1.014589
9.381238,1.039452
9.481038,1.065115
9.580838,1.091635
9.680639,1.119061
9.780439,1.147435
9.880240,1.176826
9.980040,1.207262
10.079840,1.238834
10.179641,1.271609
10.279441,1.305638
10.379242,1.341018
10.479042,1.377835
10.578842,1.416169
10.678643,1.456136
10.778443,1.497820
10.878244,1.541383
10.978044,1.586930
11.077844,1.634613
11.177645,1.684596
11.277445,1.737053
11.377246,1.792183
11.477046,1.850215
11.576846,1.911379
11.676647,1.975945
11.776447,2.044224
11.876248,2.116574
11.976048,2.193363
12.075848,2.275060
