sample,val
0,0.000000
1,1.538842
2,-1.538842
3,0.363271
4,0.363271
5,-0.000000
6,-0.363271
7,-0.363272
8,1.538842
9,-1.538841
10,-0.000001
11,1.538842
12,-1.538842
13,0.363271
14,0.363272
15,-0.000000
16,-0.363271
17,-0.363272
18,1.538842
19,-1.538841
20,-0.000002
21,1.538843
22,-1.538841
23,0.363270
24,0.363272
25,-0.000000
26,-0.363270
27,-0.363273
28,1.538842
29,-1.538840
30,-0.000003
31,1.538844
32,-1.538841
33,0.363270
34,0.363272
35,-0.000000
36,-0.363270
37,-0.363273
38,1.538842
39,-1.538839
40,-0.000004
41,1.538844
42,-1.538841
43,0.363269
44,0.363273
45,-0.000001
46,-0.363270
47,-0.363274
48,1.538843
49,-1.538839
50,-0.000005
51,1.538845
52,-1.538841
53,0.363269
54,0.363273
55,-0.000001
56,-0.363269
57,-0.363274
58,1.538843
59,-1.538838
60,-0.000006
61,1.538845
62,-1.538841
63,0.363268
64,0.363273
65,-0.000001
66,-0.363269
67,-0.363275
68,1.538843
69,-1.538838
70,-0.000007
71,1.538846
72,-1.538841
73,0.363268
74,0.363274
75,-0.000001
76,-0.363269
77,-0.363275
78,1.538843
79,-1.538837
80,-0.000008
81,1.538847
82,-1.538840
83,0.363267
84,0.363274
85,-0.000001
86,-0.363268
87,-0.363276
88,1.538843
89,-1.538837
90,-0.000009
91,1.538847
92,-1.538840
93,0.363266
94,0.363274
95,-0.000001
96,-0.363268
97,-0.363276
98,1.538843
99,-1.538836
100,-0.000010
101,1.538848
102,-1.538840
103,0.363266
104,0.363275
105,-0.000001
106,-0.363268
107,-0.363277
108,1.538844
109,-1.538835
110,-0.000011
111,1.538848
112,-1.538840
113,0.363265
114,0.363275
115,-0.000002
116,-0.363268
117,-0.363277
118,1.538844
119,-1.538835
120,-0.000012
121,1.538849
122,-1.538840
123,0.363265
124,0.363275
125,-0.000002
126,-0.363267
127,-0.363278
128,1.538844
129,-1.538834
130,-0.000013
131,1.538849
132,-1.538840
133,0.363264
134,0.363276
135,-0.000002
136,-0.363267
137,-0.363278
138,1.538844
139,-1.538834
140,-0.000014
141,1.538850
142,-1.538839
143,0.363264
144,0.363276
145,-0.000002
146,-0.363267
147,-0.363279
148,1.538844
149,-1.538833
150,-0.000015
151,1.538851
152,-1.538839
153,0.363263
154,0.363276
155,-0.000002
156,-0.363266
157,-0.363279
158,1.538844
159,-1.538832
160,-0.000016
161,1.538851
162,-1.538839
163,0.363263
164,0.363277
165,-0.000002
166,-0.363266
167,-0.363280
168,1.538845
